CourseOffering,Predicted,term,year,Course,Actual,Error,AbsError,AbsPercentError
SENG3602010-2,30.14,2,2010,SENG360,20,10.14,10.14,0.507
SENG3602011-2,23.73,2,2011,SENG360,34,-10.27,10.27,0.30205882352941177
SENG3602012-2,31.98,2,2012,SENG360,61,-29.02,29.02,0.4757377049180328
SENG3602013-2,48.81,2,2013,SENG360,59,-10.189999999999998,10.189999999999998,0.17271186440677963
SENG3602014-2,56.2,2,2014,SENG360,65,-8.799999999999997,8.799999999999997,0.13538461538461535
SENG3602015-2,64.66,2,2015,SENG360,70,-5.340000000000003,5.340000000000003,0.07628571428571433
SENG3602018-2,88.89,2,2018,SENG360,121,-32.11,32.11,0.2653719008264463
SENG3602019-2,93.28,2,2019,SENG360,112,-18.72,18.72,0.16714285714285712
SENG3602020-2,106.1,2,2020,SENG360,113,-6.900000000000006,6.900000000000006,0.061061946902654915
