CourseOffering,Predicted,term,year,Course,Actual,Error,AbsError,AbsPercentError
SENG2652010-3,53.76,3,2010,SENG265,54,-0.240000000000002,0.240000000000002,0.004444444444444481
SENG2652010-1,25.52,1,2010,SENG265,29,-3.4800000000000004,3.4800000000000004,0.12000000000000001
SENG2652010-2,62.25,2,2010,SENG265,79,-16.75,16.75,0.2120253164556962
SENG2652011-3,56.46,3,2011,SENG265,64,-7.539999999999999,7.539999999999999,0.11781249999999999
SENG2652011-1,32.42,1,2011,SENG265,34,-1.5799999999999983,1.5799999999999983,0.04647058823529407
SENG2652011-2,73.16,2,2011,SENG265,61,12.159999999999997,12.159999999999997,0.1993442622950819
SENG2652012-3,60.34,3,2012,SENG265,77,-16.659999999999997,16.659999999999997,0.2163636363636363
SENG2652012-2,64.81,2,2012,SENG265,74,-9.189999999999998,9.189999999999998,0.12418918918918916
SENG2652013-3,70.78,3,2013,SENG265,68,2.780000000000001,2.780000000000001,0.04088235294117649
SENG2652013-1,42.76,1,2013,SENG265,40,2.759999999999998,2.759999999999998,0.06899999999999995
SENG2652013-2,73.55,2,2013,SENG265,95,-21.450000000000003,21.450000000000003,0.22578947368421057
SENG2652014-3,71.99,3,2014,SENG265,76,-4.010000000000005,4.010000000000005,0.05276315789473691
SENG2652014-1,44.52,1,2014,SENG265,35,9.520000000000003,9.520000000000003,0.2720000000000001
SENG2652014-2,85.35,2,2014,SENG265,132,-46.650000000000006,46.650000000000006,0.35340909090909095
SENG2652015-3,90.13,3,2015,SENG265,90,0.12999999999999545,0.12999999999999545,0.0014444444444443939
SENG2652015-1,47.27,1,2015,SENG265,56,-8.729999999999997,8.729999999999997,0.15589285714285708
SENG2652015-2,115.82,2,2015,SENG265,157,-41.18000000000001,41.18000000000001,0.2622929936305733
SENG2652016-3,98.26,3,2016,SENG265,118,-19.739999999999995,19.739999999999995,0.16728813559322028
SENG2652016-1,64.24,1,2016,SENG265,71,-6.760000000000005,6.760000000000005,0.09521126760563388
SENG2652017-3,111.27,3,2017,SENG265,155,-43.730000000000004,43.730000000000004,0.2821290322580645
SENG2652017-1,77.72,1,2017,SENG265,64,13.719999999999999,13.719999999999999,0.21437499999999998
SENG2652018-2,149.21,2,2018,SENG265,198,-48.78999999999999,48.78999999999999,0.24641414141414136
SENG2652019-3,169.19,3,2019,SENG265,141,28.189999999999998,28.189999999999998,0.19992907801418439
SENG2652019-2,177.32,2,2019,SENG265,199,-21.680000000000007,21.680000000000007,0.10894472361809049
SENG2652020-2,187.44,2,2020,SENG265,162,25.439999999999998,25.439999999999998,0.15703703703703703
SENG2652021-3,151.15,3,2021,SENG265,128,23.150000000000006,23.150000000000006,0.18085937500000004
SENG2652021-2,169.75,2,2021,SENG265,233,-63.25,63.25,0.27145922746781115
SENG2652022-3,145.07,3,2022,SENG265,158,-12.930000000000007,12.930000000000007,0.08183544303797473
SENG2652022-1,123.46,1,2022,SENG265,75,48.459999999999994,48.459999999999994,0.6461333333333332
