CourseOffering,Predicted,term,year,Course,Actual,Error,AbsError,AbsPercentError
ECE2602019-1,55.81,1,2019,ECE260,111,-55.19,55.19,0.4972072072072072
ECE2602020-1,99.44,1,2020,ECE260,95,4.439999999999998,4.439999999999998,0.04673684210526313
ECE2602021-2,83.94,2,2021,ECE260,98,-14.060000000000002,14.060000000000002,0.14346938775510207
ECE2602022-1,96.14,1,2022,ECE260,91,5.140000000000001,5.140000000000001,0.05648351648351649
