CourseOffering,Predicted,term,year,Course,Actual,Error,AbsError,AbsPercentError
ECE3602019-3,107.28,3,2019,ECE360,58,49.28,49.28,0.8496551724137931
ECE3602021-3,83.09,3,2021,ECE360,69,14.090000000000003,14.090000000000003,0.20420289855072468
ECE3602021-2,83.35,2,2021,ECE360,106,-22.650000000000006,22.650000000000006,0.21367924528301893
ECE3602022-3,63.22,3,2022,ECE360,46,17.22,17.22,0.3743478260869565
