CourseOffering,Predicted,term,year,Course,Actual,Error,AbsError,AbsPercentError
SENG3502018-2,88.89,2,2018,SENG350,25,63.89,63.89,2.5556
SENG3502019-2,49.79,2,2019,SENG350,53,-3.210000000000001,3.210000000000001,0.06056603773584907
SENG3502020-2,56.02,2,2020,SENG350,66,-9.979999999999997,9.979999999999997,0.15121212121212116
